,City,Temperature,Humidity,Longitude,Latitude,Cloudiness,Country,Windspeed,Date
139,huarmey,66.29,85,-78.1522,-10.0681,6,PE,8.66,1651882640
140,nakusp,55.74,47,-117.8023,50.2499,93,CA,1.14,1651882641
141,castro,53.58,93,-50.0119,-24.7911,6,BR,4.09,1651882642
142,bambous virieux,73.65,68,57.7575,-20.3428,20,MU,6.91,1651882643
143,haines junction,46.35,31,-137.5108,60.7522,95,CA,10.36,1651882624
144,nikolskoye,49.05,95,30.7861,59.7035,21,RU,5.37,1651882644
145,amapa,73.13,99,-52.0,1.0,100,BR,2.48,1651882645
146,amberley,59.5,92,-84.428,39.2048,100,US,9.22,1651882645
147,manacor,59.99,61,3.2096,39.5696,25,ES,5.12,1651882646
148,fortuna,56.17,90,-124.1573,40.5982,100,US,11.95,1651882647
149,sungaipenuh,66.74,95,101.3833,-2.0833,100,ID,1.7,1651882647
150,katsuura,64.71,79,140.3,35.1333,97,JP,13.69,1651882648
151,east london,67.48,75,27.9116,-33.0153,96,ZA,12.84,1651882649
152,lata,56.07,75,-8.3327,40.1629,39,PT,2.91,1651882649
153,barkot,61.23,50,78.2,30.8167,0,IN,4.88,1651882651
154,pangnirtung,10.8,99,-65.7125,66.1451,97,CA,2.62,1651882651
155,ilulissat,24.82,68,-51.1,69.2167,20,GL,0.0,1651882652
156,longyearbyen,21.04,73,15.6401,78.2186,40,SJ,1.14,1651882653
157,tucuman,55.4,88,-65.2226,-26.8241,76,AR,2.3,1651882653
158,vanino,53.38,42,140.2543,49.0869,38,RU,5.19,1651882654
159,north bend,54.73,94,-124.2243,43.4065,100,US,14.97,1651882516
160,nome,32.07,80,-165.4064,64.5011,100,US,13.8,1651882563
161,luau,69.76,66,22.2247,-10.7073,91,AO,2.59,1651882656
162,sao filipe,73.49,78,-24.4956,14.8961,1,CV,14.38,1651882657
163,wahiawa,75.2,69,-158.0236,21.5028,100,US,11.5,1651882436
